Customer ID,Customer Type
580,medium budget
581,low budget
581,low budget
581,low budget
581,low budget
581,low budget
581,low budget
581,medium budget
581,medium budget
581,medium budget
581,low budget
581,low budget
581,low budget
581,low budget
581,low budget
581,low budget
581,low budget
581,low budget
581,medium budget
581,medium budget
581,medium budget
581,low budget
581,low budget
581,low budget
581,low budget
581,low budget
583,low budget
583,low budget
583,low budget
583,low budget
583,low budget
583,low budget
583,medium budget
583,medium budget
583,low budget
583,low budget
583,low budget
583,low budget
583,low budget
584,low budget
585,low budget
585,low budget
585,low budget
586,medium budget
587,low budget
589,low budget
591,low budget
591,low budget
592,low budget
593,medium budget
593,medium budget
594,low budget
594,medium budget
595,low budget
596,medium budget
598,medium budget
599,low budget
600,low budget
601,low budget
601,low budget
601,low budget
602,low budget
603,medium budget
605,medium budget
606,low budget
606,low budget
606,low budget
606,low budget
607,low budget
607,low budget
609,low budget
610,low budget
611,medium budget
612,low budget
613,medium budget
613,medium budget
614,low budget
617,low budget
618,low budget
620,low budget
621,low budget
622,medium budget
624,medium budget
624,medium budget
625,medium budget
627,medium budget
627,medium budget
629,low budget
629,low budget
630,low budget
630,low budget
630,low budget
630,low budget
630,low budget
631,medium budget
632,medium budget
633,low budget
634,low budget
635,low budget
636,low budget
637,low budget
639,low budget
640,low budget
641,low budget
642,low budget
649,low budget
650,medium budget
651,medium budget
654,low budget
655,low budget
657,low budget
658,low budget
659,medium budget
660,low budget
661,medium budget
663,low budget
663,medium budget
665,low budget
667,low budget
669,low budget
670,medium budget
671,low budget
672,low budget
673,low budget
674,low budget
675,low budget
676,medium budget
677,low budget
678,low budget
679,low budget
680,low budget
682,medium budget
684,medium budget
684,medium budget
686,medium budget
687,low budget
689,low budget
690,low budget
691,medium budget
692,medium budget
693,low budget
694,low budget
695,low budget
695,low budget
695,low budget
695,medium budget
695,medium budget
695,did not pay 
696,low budget
697,low budget
698,medium budget
699,medium budget
699,low budget
699,low budget
699,low budget
699,luxury/high budget
700,medium budget
701,luxury/high budget
702,low budget
702,low budget
702,low budget
702,low budget
703,low budget
704,medium budget
705,low budget
707,medium budget
708,low budget
709,low budget
710,medium budget
713,low budget
715,low budget
717,low budget
719,medium budget
720,low budget
721,medium budget
724,low budget
725,low budget
726,luxury/high budget
727,low budget
729,medium budget
730,low budget
731,medium budget
733,low budget
734,low budget
734,low budget
736,low budget
737,low budget
738,low budget
739,low budget
740,low budget
742,medium budget
743,low budget
743,low budget
744,low budget
745,low budget
746,low budget
747,low budget
747,low budget
747,medium budget
747,medium budget
748,low budget
751,low budget
753,low budget
753,low budget
753,medium budget
753,medium budget
753,medium budget
754,low budget
756,medium budget
758,medium budget
759,medium budget
760,medium budget
762,medium budget
762,medium budget
762,medium budget
762,medium budget
763,low budget
764,low budget
764,medium budget
764,medium budget
764,low budget
765,low budget
765,low budget
765,low budget
765,medium budget
766,medium budget
767,medium budget
769,low budget
769,low budget
771,low budget
771,low budget
772,medium budget
773,low budget
774,low budget
776,low budget
777,low budget
778,low budget
779,low budget
780,low budget
781,low budget
782,medium budget
783,medium budget
783,medium budget
784,low budget
785,low budget
786,low budget
786,low budget
787,low budget
787,low budget
787,low budget
789,low budget
789,low budget
789,medium budget
791,low budget
792,low budget
792,low budget
792,low budget
792,low budget
792,did not pay 
793,low budget
796,low budget
800,low budget
801,low budget
802,medium budget
803,low budget
805,low budget
806,low budget
806,low budget
807,low budget
808,low budget
809,low budget
810,low budget
811,low budget
813,low budget
814,low budget
817,low budget
818,low budget
819,low budget
820,medium budget
820,medium budget
821,low budget
822,low budget
823,low budget
824,low budget
825,luxury/high budget
826,medium budget
826,medium budget
826,medium budget
827,low budget
828,low budget
828,low budget
829,low budget
830,low budget
831,low budget
832,medium budget
833,low budget
834,medium budget
835,medium budget
836,low budget
837,low budget
837,low budget
837,low budget
